,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
34872,2011-07-09,Bahamas,Turks and Caicos Islands,6.0,0.0,FIFA World Cup qualification,Nassau,Bahamas,False
34873,2011-07-09,Brazil,Paraguay,2.0,2.0,Copa América,Córdoba,Argentina,True
34874,2011-07-09,Lebanon,Oman,0.0,1.0,Friendly,Beirut,Lebanon,False
34875,2011-07-09,Solomon Islands,Vanuatu,0.0,0.0,Friendly,Honiara,Solomon Islands,False
34876,2011-07-09,Venezuela,Ecuador,1.0,0.0,Copa América,Salta,Argentina,True
34877,2011-07-10,British Virgin Islands,United States Virgin Islands,1.0,2.0,FIFA World Cup qualification,Road Town,British Virgin Islands,False
34878,2011-07-10,Colombia,Bolivia,2.0,0.0,Copa América,Santa Fe,Argentina,True
34879,2011-07-10,Dominican Republic,Anguilla,4.0,0.0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,False
34880,2011-07-10,Maldives,India,1.0,1.0,Friendly,Malé,Maldives,False
34881,2011-07-11,Argentina,Costa Rica,3.0,0.0,Copa América,Córdoba,Argentina,False
34882,2011-07-12,Chile,Peru,1.0,0.0,Copa América,Mendoza,Argentina,True
34883,2011-07-12,Saint Lucia,Aruba,4.0,2.0,FIFA World Cup qualification,Castries,Saint Lucia,False
34884,2011-07-12,Uruguay,Mexico,1.0,0.0,Copa América,La Plata,Argentina,True
34885,2011-07-13,Brazil,Ecuador,4.0,2.0,Copa América,Córdoba,Argentina,True
34886,2011-07-13,Iraq,Kuwait,0.0,2.0,Friendly,Amman,Jordan,True
34887,2011-07-13,Jordan,Saudi Arabia,1.0,1.0,Friendly,Amman,Jordan,False
34888,2011-07-13,Paraguay,Venezuela,3.0,3.0,Copa América,Salta,Argentina,True
34889,2011-07-14,Thailand,Myanmar,1.0,0.0,Friendly,Buriram,Thailand,False
34890,2011-07-15,Fiji,Vanuatu,1.0,2.0,Friendly,Lautoka,Fiji,False
34891,2011-07-15,Oman,Syria,1.0,1.0,Friendly,Muscat,Oman,False
34892,2011-07-15,Thailand,Myanmar,1.0,1.0,Friendly,Buriram,Thailand,False
34893,2011-07-16,Argentina,Uruguay,1.0,1.0,Copa América,Santa Fe,Argentina,False
34894,2011-07-16,Colombia,Peru,0.0,2.0,Copa América,Córdoba,Argentina,True
34895,2011-07-16,Jordan,Iraq,1.0,1.0,Friendly,Amman,Jordan,False
34896,2011-07-16,Kuwait,Saudi Arabia,1.0,0.0,Friendly,Amman,Jordan,True
34897,2011-07-17,Belize,Montserrat,3.0,1.0,FIFA World Cup qualification,San Pedro Sula,Honduras,True
34898,2011-07-17,Brazil,Paraguay,0.0,0.0,Copa América,La Plata,Argentina,True
34899,2011-07-17,Chile,Venezuela,1.0,2.0,Copa América,San Juan,Argentina,True
34900,2011-07-17,Iran,Madagascar,1.0,0.0,Friendly,Tehran,Iran,False
34901,2011-07-17,Qatar,India,1.0,2.0,Friendly,Doha,Qatar,False
34902,2011-07-17,United Arab Emirates,Lebanon,6.0,2.0,Friendly,Al Ain,United Arab Emirates,False
34903,2011-07-18,Singapore,Taiwan,3.0,2.0,Friendly,Singapore,Singapore,False
34904,2011-07-19,Peru,Uruguay,0.0,2.0,Copa América,La Plata,Argentina,True
34905,2011-07-20,Paraguay,Venezuela,0.0,0.0,Copa América,Mendoza,Argentina,True
34906,2011-07-23,China PR,Laos,7.0,2.0,FIFA World Cup qualification,Kunming,China PR,False
34907,2011-07-23,Iran,Maldives,4.0,0.0,FIFA World Cup qualification,Tehran,Iran,False
34908,2011-07-23,Iraq,Yemen,2.0,0.0,FIFA World Cup qualification,Erbil,Iraq,False
34909,2011-07-23,Jordan,Nepal,9.0,0.0,FIFA World Cup qualification,Amman,Jordan,False
34910,2011-07-23,Kuwait,Philippines,3.0,0.0,FIFA World Cup qualification,Hawalli,Kuwait,False
34911,2011-07-23,Lebanon,Bangladesh,4.0,0.0,FIFA World Cup qualification,Beirut,Lebanon,False
34912,2011-07-23,Oman,Myanmar,2.0,0.0,FIFA World Cup qualification,Muscat,Oman,False
34913,2011-07-23,Peru,Venezuela,4.0,1.0,Copa América,La Plata,Argentina,True
34914,2011-07-23,Qatar,Vietnam,3.0,0.0,FIFA World Cup qualification,Doha,Qatar,False
34915,2011-07-23,Saudi Arabia,Hong Kong,3.0,0.0,FIFA World Cup qualification,Dammam,Saudi Arabia,False
34916,2011-07-23,Singapore,Malaysia,5.0,3.0,FIFA World Cup qualification,Singapore,Singapore,False
34917,2011-07-23,Syria,Tajikistan,0.0,3.0,FIFA World Cup qualification,Amman,Jordan,True
34918,2011-07-23,Thailand,Palestine,1.0,0.0,FIFA World Cup qualification,Buriram,Thailand,False
34919,2011-07-23,Turkmenistan,Indonesia,1.0,1.0,FIFA World Cup qualification,Ashgabat,Turkmenistan,False
34920,2011-07-23,United Arab Emirates,India,3.0,0.0,FIFA World Cup qualification,Al Ain,United Arab Emirates,False
34921,2011-07-23,Uzbekistan,Kyrgyzstan,4.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
34922,2011-07-24,Liberia,Gambia,3.0,2.0,Friendly,Paynesville,Liberia,False
34923,2011-07-24,Uruguay,Paraguay,3.0,0.0,Copa América,Buenos Aires,Argentina,True
34924,2011-07-27,Vanuatu,Solomon Islands,0.0,0.0,Friendly,Port Vila,Vanuatu,False
34925,2011-07-28,Bangladesh,Lebanon,2.0,0.0,FIFA World Cup qualification,Dhaka,Bangladesh,False
34926,2011-07-28,Myanmar,Oman,0.0,2.0,FIFA World Cup qualification,Yangon,Myanmar,False
34927,2011-07-28,Hong Kong,Saudi Arabia,0.0,5.0,FIFA World Cup qualification,Siu Sai Wan,Hong Kong,False
34928,2011-07-28,India,United Arab Emirates,2.0,2.0,FIFA World Cup qualification,New Delhi,India,False
34929,2011-07-28,Indonesia,Turkmenistan,4.0,3.0,FIFA World Cup qualification,Jakarta,Indonesia,False
34930,2011-07-28,Kyrgyzstan,Uzbekistan,0.0,3.0,FIFA World Cup qualification,Bishkek,Kyrgyzstan,False
34931,2011-07-28,Laos,China PR,1.0,6.0,FIFA World Cup qualification,Vientiane,Laos,False
34932,2011-07-28,Malaysia,Singapore,1.0,1.0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
34933,2011-07-28,Maldives,Iran,0.0,1.0,FIFA World Cup qualification,Malé,Maldives,False
34934,2011-07-28,Nepal,Jordan,1.0,1.0,FIFA World Cup qualification,Kathmandu,Nepal,False
34935,2011-07-28,Palestine,Thailand,2.0,2.0,FIFA World Cup qualification,Al-Ram,Palestine,False
34936,2011-07-28,Philippines,Kuwait,1.0,2.0,FIFA World Cup qualification,Manila,Philippines,False
34937,2011-07-28,Tajikistan,Syria,3.0,0.0,FIFA World Cup qualification,Tursunzoda,Tajikistan,False
34938,2011-07-28,Vietnam,Qatar,2.0,1.0,FIFA World Cup qualification,Hanoi,Vietnam,False
34939,2011-07-28,Yemen,Iraq,0.0,0.0,FIFA World Cup qualification,Al Ain,United Arab Emirates,True
34940,2011-07-30,Vanuatu,Solomon Islands,2.0,0.0,Friendly,Port Vila,Vanuatu,False
34941,2011-07-31,Eswatini,Botswana,0.0,2.0,Friendly,Pretoria,South Africa,True
34942,2011-08-04,Seychelles,Comoros,0.0,0.0,Indian Ocean Island Games,Praslin,Seychelles,False
34943,2011-08-04,Maldives,Mauritius,1.0,1.0,Indian Ocean Island Games,Praslin,Seychelles,True
34944,2011-08-04,Madagascar,Mayotte,1.0,1.0,Indian Ocean Island Games,Praslin,Seychelles,True
34945,2011-08-06,Seychelles,Mauritius,2.0,1.0,Indian Ocean Island Games,Mahé,Seychelles,False
34946,2011-08-06,Comoros,Maldives,2.0,2.0,Indian Ocean Island Games,Mahé,Seychelles,True
34947,2011-08-06,Réunion,Madagascar,2.0,1.0,Indian Ocean Island Games,Mahé,Seychelles,True
34948,2011-08-07,El Salvador,Venezuela,2.0,1.0,Friendly,Washington,United States,True
34949,2011-08-08,Mayotte,Réunion,2.0,0.0,Indian Ocean Island Games,Mahé,Seychelles,True
34950,2011-08-09,Mauritius,Comoros,2.0,0.0,Indian Ocean Island Games,Praslin,Seychelles,True
34951,2011-08-09,Seychelles,Maldives,5.0,1.0,Indian Ocean Island Games,Mahé,Seychelles,False
34952,2011-08-10,Albania,Montenegro,3.0,2.0,Friendly,Shkodër,Albania,False
34953,2011-08-10,Austria,Slovakia,1.0,2.0,Friendly,Klagenfurt,Austria,False
34954,2011-08-10,Azerbaijan,North Macedonia,0.0,1.0,Friendly,Baku,Azerbaijan,False
34955,2011-08-10,Belarus,Bulgaria,1.0,0.0,Friendly,Minsk,Belarus,False
34956,2011-08-10,Bolivia,Panama,1.0,3.0,Friendly,Santa Cruz,Bolivia,False
34957,2011-08-10,Bosnia and Herzegovina,Greece,0.0,0.0,Friendly,Sarajevo,Bosnia and Herzegovina,False
34958,2011-08-10,Botswana,Kenya,1.0,0.0,Friendly,Gaborone,Botswana,False
34959,2011-08-10,China PR,Jamaica,1.0,0.0,Friendly,Hefei,China PR,False
34960,2011-08-10,Costa Rica,Ecuador,0.0,2.0,Friendly,San José,Costa Rica,False
