,date,home_team,away_team,winner,first_shooter
379,2006-06-03,Northern Cyprus,Zanzibar,Northern Cyprus,
380,2006-06-26,Switzerland,Ukraine,Ukraine,Ukraine
381,2006-06-30,Germany,Argentina,Germany,Germany
382,2006-07-01,England,Portugal,Portugal,Portugal
383,2006-07-09,Italy,France,Italy,Italy
384,2006-07-22,Namibia,Seychelles,Seychelles,
385,2007-04-29,Mozambique,Zimbabwe,Mozambique,
386,2007-05-06,Guernsey,Jersey,Jersey,
387,2007-05-26,Malawi,South Africa,South Africa,
388,2007-05-26,Eswatini,Mauritius,Mauritius,
389,2007-07-10,Uruguay,Brazil,Brazil,Brazil
390,2007-07-21,Japan,Australia,Japan,Australia
391,2007-07-22,Iran,South Korea,South Korea,South Korea
392,2007-07-25,Iraq,South Korea,Iraq,South Korea
393,2007-07-28,South Korea,Japan,South Korea,South Korea
394,2007-07-29,Botswana,Angola,Botswana,
395,2007-08-18,Mauritius,Mayotte,Mayotte,
396,2007-08-18,Madagascar,Réunion,Réunion,
397,2007-10-24,South Africa,Zambia,South Africa,
398,2008-05-05,Jersey,Guernsey,Jersey,
399,2008-06-20,Croatia,Turkey,Turkey,Croatia
400,2008-06-22,Spain,Italy,Spain,Spain
401,2008-07-27,Zambia,Zimbabwe,Zambia,
402,2008-09-30,New Caledonia,Martinique,Martinique,
403,2009-06-26,Provence,Sápmi,Sápmi,
404,2009-07-23,Costa Rica,Mexico,Mexico,Mexico
405,2009-10-28,Zimbabwe,South Africa,Zimbabwe,
406,2010-01-25,Zambia,Nigeria,Nigeria,Zambia
407,2010-05-21,Corsica,Gabon,Corsica,
408,2010-06-29,Paraguay,Japan,Paraguay,Paraguay
409,2010-07-02,Uruguay,Ghana,Uruguay,Uruguay
410,2010-09-22,French Guiana,Mayotte,Mayotte,
411,2010-09-23,Guadeloupe,New Caledonia,New Caledonia,
412,2010-09-26,Guadeloupe,Tahiti,Tahiti,
413,2010-09-29,New Caledonia,Tahiti,Tahiti,
414,2010-10-02,Réunion,Martinique,Martinique,
415,2011-01-25,Japan,South Korea,Japan,Japan
416,2011-02-08,Romania,Ukraine,Ukraine,
417,2011-02-09,Sweden,Ukraine,Ukraine,
418,2011-05-08,Guernsey,Jersey,Jersey,
419,2011-06-08,Uruguay,Netherlands,Uruguay,Netherlands
420,2011-06-18,Costa Rica,Honduras,Honduras,Costa Rica
421,2011-06-19,Panama,El Salvador,Panama,Panama
422,2011-06-29,Saare County,Åland Islands,Åland Islands,
423,2011-06-30,Isle of Man,Menorca,Menorca,
424,2011-07-12,Saint Lucia,Aruba,Saint Lucia,
425,2011-07-16,Argentina,Uruguay,Uruguay,Argentina
426,2011-07-17,Brazil,Paraguay,Paraguay,Brazil
427,2011-07-20,Paraguay,Venezuela,Paraguay,Paraguay
428,2011-08-11,Mayotte,Mauritius,Mauritius,
429,2011-08-13,Seychelles,Mauritius,Seychelles,
430,2012-02-05,Gabon,Mali,Mali,Gabon
431,2012-02-12,Zambia,Ivory Coast,Zambia,Ivory Coast
432,2012-06-03,Finland,Latvia,Latvia,Finland
433,2012-06-17,Mozambique,Tanzania,Mozambique,
434,2012-06-24,England,Italy,Italy,Italy
435,2012-06-27,Portugal,Spain,Spain,Spain
436,2012-08-25,Alderney,Sealand,Sealand,
437,2012-09-02,India,Cameroon,India,
438,2012-09-29,Réunion,Martinique,Réunion,
439,2012-10-13,Uganda,Zambia,Zambia,
440,2012-11-21,Argentina,Brazil,Brazil,Argentina
441,2013-01-23,Sweden,North Korea,Sweden,
442,2013-02-02,South Africa,Mali,Mali,South Africa
443,2013-02-06,Burkina Faso,Ghana,Burkina Faso,Ghana
444,2013-06-27,Spain,Italy,Spain,Italy
445,2013-06-30,Uruguay,Italy,Italy,Uruguay
446,2013-07-13,Zimbabwe,Malawi,Zimbabwe,
447,2013-07-14,Angola,Lesotho,Lesotho,
448,2013-07-17,Zambia,South Africa,Zambia,
449,2014-05-05,Sealand,Chagos Islands,Chagos Islands,
450,2014-05-29,Latvia,Estonia,Latvia,Estonia
451,2014-06-04,Abkhazia,South Ossetia,South Ossetia,
452,2014-06-04,Ellan Vannin,Iraqi Kurdistan,Ellan Vannin,
453,2014-06-05,Padania,Abkhazia,Padania,
454,2014-06-05,Occitania,Iraqi Kurdistan,Iraqi Kurdistan,
455,2014-06-07,Padania,Iraqi Kurdistan,Padania,
456,2014-06-08,County of Nice,Ellan Vannin,County of Nice,
457,2014-06-28,Brazil,Chile,Brazil,Brazil
458,2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica
459,2014-07-05,Netherlands,Costa Rica,Netherlands,Costa Rica
460,2014-07-09,Netherlands,Argentina,Argentina,Netherlands
461,2015-01-23,Iran,Iraq,Iraq,Iran
462,2015-01-23,Japan,United Arab Emirates,United Arab Emirates,Japan
463,2015-01-30,Curaçao,Aruba,Aruba,
464,2015-02-07,Equatorial Guinea,DR Congo,DR Congo,Equatorial Guinea
465,2015-02-08,Ivory Coast,Ghana,Ivory Coast,Ghana
466,2015-05-24,Zambia,Namibia,Namibia,
467,2015-05-24,South Africa,Botswana,Botswana,
468,2015-05-25,Mozambique,Malawi,Mozambique,
469,2015-05-27,South Africa,Malawi,Malawi,
470,2015-06-21,Ellan Vannin,Felvidék,Ellan Vannin,
471,2015-06-26,Argentina,Colombia,Argentina,Colombia
472,2015-06-27,Brazil,Paraguay,Paraguay,Brazil
473,2015-07-02,Gibraltar,Åland Islands,Åland Islands,
474,2015-07-04,Chile,Argentina,Chile,Chile
475,2015-07-19,Trinidad and Tobago,Panama,Panama,Panama
476,2015-07-25,United States,Panama,Panama,United States
477,2015-10-13,El Salvador,Guatemala,Guatemala,
478,2016-05-27,Corsica,Basque Country,Basque Country,
479,2016-06-01,United Koreans in Japan,Northern Cyprus,Northern Cyprus,
480,2016-06-02,Iraqi Kurdistan,Padania,Padania,
481,2016-06-03,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina,
482,2016-06-03,Thailand,Syria,Thailand,
483,2016-06-03,Vietnam,Hong Kong,Vietnam,
484,2016-06-03,Iraqi Kurdistan,Western Armenia,Western Armenia,
485,2016-06-03,Chagos Islands,Raetia,Raetia,
486,2016-06-04,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan,United Koreans in Japan
487,2016-06-05,Abkhazia,Panjab,Abkhazia,
488,2016-06-11,Papua New Guinea,New Zealand,New Zealand,New Zealand
489,2016-06-17,Peru,Colombia,Colombia,Colombia
490,2016-06-18,Namibia,Botswana,Botswana,
491,2016-06-18,South Africa,Lesotho,South Africa,
492,2016-06-19,Zambia,Eswatini,Eswatini,
493,2016-06-22,Botswana,DR Congo,Botswana,
494,2016-06-25,Switzerland,Poland,Poland,Switzerland
495,2016-06-26,Argentina,Chile,Chile,Chile
496,2016-06-30,Poland,Portugal,Portugal,Portugal
497,2016-07-02,Germany,Italy,Germany,Italy
498,2016-08-01,Felvidék,Kárpátalja,Felvidék,
499,2017-01-11,Chile,Croatia,Chile,
500,2017-01-14,China PR,Croatia,China PR,
501,2017-01-28,Senegal,Cameroon,Cameroon,Senegal
502,2017-02-01,Burkina Faso,Egypt,Egypt,Egypt
503,2017-06-09,Kárpátalja,Ellan Vannin,Kárpátalja,
504,2017-06-09,Padania,Abkhazia,Padania,
505,2017-06-10,Northern Cyprus,Padania,Padania,
506,2017-06-28,Portugal,Chile,Chile,Chile
507,2017-06-29,Hitra,Western Isles,Western Isles,
508,2017-06-29,Greenland,Menorca,Greenland,
509,2017-07-01,Namibia,Lesotho,Lesotho,
510,2017-07-07,Tanzania,Lesotho,Tanzania,
511,2017-07-16,Thailand,Belarus,Thailand,
512,2018-03-21,South Africa,Angola,South Africa,
513,2018-03-21,Zambia,Zimbabwe,Zambia,
514,2018-03-22,Thailand,Gabon,Thailand,
515,2018-03-24,Angola,Zimbabwe,Angola,
516,2018-06-02,Zambia,Namibia,Zambia,
517,2018-06-03,Andorra,Cape Verde,Cape Verde,
518,2018-06-03,South Africa,Madagascar,Madagascar,
519,2018-06-03,Zimbabwe,Botswana,Zimbabwe,
520,2018-06-05,Matabeleland,Kabylia,Kabylia,
521,2018-06-06,Lesotho,Zimbabwe,Zimbabwe,
522,2018-06-09,Tibet,United Koreans in Japan,United Koreans in Japan,
523,2018-06-09,Panjab,Cascadia,Panjab,
524,2018-06-09,Padania,Székely Land,Padania,
525,2018-06-09,Northern Cyprus,Kárpátalja,Kárpátalja,
526,2018-07-01,Russia,Spain,Russia,Spain
527,2018-07-01,Croatia,Denmark,Croatia,Denmark
528,2018-07-03,Colombia,England,England,Colombia
529,2018-07-07,Russia,Croatia,Croatia,Russia
530,2019-01-20,Jordan,Vietnam,Vietnam,Vietnam
531,2019-01-21,Australia,Uzbekistan,Australia,Australia
532,2019-03-23,Oman,Singapore,Oman,
533,2019-05-11,Guernsey,Jersey,Jersey,
534,2019-06-01,Lesotho,Uganda,Lesotho,
535,2019-06-02,South Africa,Botswana,Botswana,
536,2019-06-02,Zambia,Malawi,Zambia,
537,2019-06-04,South Africa,Uganda,South Africa,
538,2019-06-05,Zimbabwe,Zambia,Zambia,
539,2019-06-06,Abkhazia,Western Armenia,Western Armenia,
540,2019-06-06,South Ossetia,Chameria,South Ossetia,
541,2019-06-07,Lesotho,Zimbabwe,Zimbabwe,
542,2019-06-07,South Africa,Malawi,South Africa,
543,2019-06-08,Abkhazia,Chameria,Abkhazia,
544,2019-06-09,Switzerland,England,England,England
545,2019-06-27,Brazil,Paraguay,Brazil,Paraguay
546,2019-06-28,Colombia,Chile,Chile,Colombia
547,2019-06-29,Mexico,Costa Rica,Mexico,Mexico
